seq,cum_dist,elev,gradient_50m,x,y
0,0.0,232.76425170898438,-33.3,1570984.6478000004,5173007.4921
1,5.0,230.5068359375,-29.8,1570984.7126838046,5173012.491678992
2,10.0,229.50392150878906,-30.1,1570984.777567609,5173017.491257983
3,15.0,228.0189971923828,-29.0,1570984.8424514132,5173022.490836975
4,20.0,226.1122589111328,-26.9,1570984.9073352176,5173027.490415966
5,25.0,224.43942260742188,-27.2,1570984.9722190218,5173032.489994958
6,30.0,223.8187713623047,-25.1,1570985.037102826,5173037.489573949
7,35.0,222.23037719726562,-26.5,1570985.1019866304,5173042.489152941
8,40.0,221.15505981445312,-23.6,1570985.1668704345,5173047.488731932
9,45.0,220.64654541015625,-20.1,1570985.2317542387,5173052.488310924
10,46.7,220.1014404296875,-20.1,1570985.2532000002,5173054.1408
11,51.7,218.68045043945312,-17.6,1570983.9547034649,5173058.969247654
12,56.7,217.5509490966797,-15.3,1570982.6562069296,5173063.797695308
13,61.7,215.79168701171875,-11.0,1570981.3577103943,5173068.626142962
14,66.7,215.84312438964844,-6.8,1570980.0592138593,5173073.454590617
15,71.7,215.70204162597656,-6.1,1570978.760717324,5173078.283038271
16,71.9,215.70204162597656,-6.1,1570978.6900000004,5173078.546
17,76.9,215.29934692382812,-2.3,1570976.7850832718,5173083.168909501
18,81.9,215.87521362304688,-0.9,1570974.880166543,5173087.7918190025
19,86.9,216.5392303466797,2.9,1570972.9752498143,5173092.414728504
20,91.9,217.6252899169922,1.3,1570971.0703330857,5173097.037638005
21,96.9,217.05589294433594,1.8,1570969.1654163569,5173101.660547506
22,101.9,217.51776123046875,1.3,1570967.2692999998,5173106.2621
23,106.9,217.09300231933594,-2.5,1570964.4218509507,5173110.37209196
24,111.9,217.25221252441406,-4.9,1570961.5744019013,5173114.48208392
25,116.9,216.49916076660156,-7.5,1570958.7269528522,5173118.592075881
26,121.9,216.60377502441406,-5.9,1570955.879503803,5173122.702067841
27,126.1,216.8400421142578,-5.9,1570953.4605999999,5173126.1935
28,131.1,215.9836883544922,-6.6,1570949.092815111,5173128.627109493
29,136.1,214.5223388671875,-6.0,1570944.7250302222,5173131.060718986
30,141.1,213.89894104003906,-6.1,1570940.3572453333,5173133.494328479
31,146.1,213.54693603515625,-5.0,1570935.9894604445,5173135.927937972
32,151.1,213.83432006835938,-7.3,1570931.6216755556,5173138.361547465
33,156.1,213.95599365234375,-4.8,1570927.2538906669,5173140.7951569585
34,161.1,213.84408569335938,-1.1,1570922.886105778,5173143.228766452
35,166.1,213.95729064941406,-1.7,1570918.5183208892,5173145.662375945
36,166.9,214.37722778320312,-1.7,1570917.8578000003,5173146.0304
37,171.9,213.7552490234375,-1.1,1570913.2558700817,5173147.9854552485
38,176.9,213.11477661132812,-3.1,1570908.6539401633,5173149.9405104965
39,181.9,213.541259765625,-3.6,1570904.0520102447,5173151.895565745
40,186.9,213.9456024169922,-3.4,1570899.450080326,5173153.850620993
41,191.9,213.0478973388672,-3.8,1570894.8481504074,5173155.805676242
42,196.9,212.96815490722656,-3.2,1570890.246220489,5173157.76073149
43,201.9,212.2848663330078,-2.0,1570885.6442905704,5173159.715786739
44,206.9,212.1238250732422,-2.6,1570881.0423606518,5173161.670841987
45,209.1,211.79771423339844,-2.6,1570879.0405000001,5173162.5213
46,214.1,212.03836059570312,-3.6,1570874.6277482084,5173164.872389455
47,219.1,212.41180419921875,-2.2,1570870.2149964168,5173167.22347891
48,224.1,212.07171630859375,-2.8,1570865.802244625,5173169.574568365
49,229.1,212.05184936523438,-2.2,1570861.3894928335,5173171.92565782
50,234.1,212.1826934814453,-2.9,1570856.9767410418,5173174.276747275
51,239.1,212.0636444091797,-4.2,1570852.56398925,5173176.627836729
52,244.1,211.91981506347656,-5.4,1570848.1512374585,5173178.978926185
53,249.1,211.50962829589844,-7.6,1570843.7384856667,5173181.33001564
54,254.1,211.13165283203125,-9.1,1570839.3257338752,5173183.681105095
55,259.1,210.35165405273438,-10.7,1570834.9129820834,5173186.032194549
56,264.1,209.95864868164062,-10.8,1570830.5002302919,5173188.383284004
57,269.1,209.7157440185547,-11.7,1570826.0874785,5173190.73437346
58,272.3,209.378173828125,-11.8,1570823.2138999999,5173192.2654
59,277.3,208.0447540283203,-11.3,1570818.2975688956,5173193.17627237
60,282.3,207.20462036132812,-11.6,1570813.3812377914,5173194.087144739
61,287.3,206.4637451171875,-11.2,1570808.4649066871,5173194.998017109
62,292.3,206.29458618164062,-10.6,1570803.5485755831,5173195.908889479
63,296.2,205.82826232910156,-11.2,1570799.7860000003,5173196.606
64,301.2,205.18348693847656,-11.6,1570794.979163534,5173197.9823441375
65,306.2,205.06533813476562,-8.7,1570790.1723270677,5173199.358688275
66,311.2,204.5062713623047,-8.1,1570785.3654906014,5173200.735032413
67,316.2,203.94186401367188,-7.3,1570780.558654135,5173202.111376551
68,321.2,203.905029296875,-7.8,1570775.7518176686,5173203.487720689
69,326.2,203.1386260986328,-8.1,1570770.9449812023,5173204.864064828
70,331.2,203.369140625,-8.8,1570766.138144736,5173206.240408965
71,336.2,202.8508758544922,-9.1,1570761.3313082696,5173207.616753103
72,339.9,202.37965393066406,-9.1,1570757.7587000001,5173208.6397
73,344.9,202.28028869628906,-10.4,1570753.0916054891,5173210.433642258
74,349.9,201.61390686035156,-11.4,1570748.424510978,5173212.227584516
75,354.9,200.8473663330078,-11.5,1570743.757416467,5173214.021526773
76,359.9,200.3312225341797,-12.7,1570739.0903219557,5173215.815469031
77,364.9,199.63929748535156,-13.0,1570734.4232274448,5173217.60941129
78,369.9,198.35284423828125,-13.2,1570729.7561329335,5173219.403353548
79,374.9,197.7921905517578,-11.7,1570725.0890384226,5173221.197295805
