seq,cum_dist,elev,gradient_pct,gradient_smooth,x,y
0,0.0,254.71774291992188,,-26.74,1570984.6478000004,5173007.4921
1,5.0,252.31394958496094,-48.08,-33.74,1570984.7126838046,5173012.491678992
2,10.0,252.2090606689453,-2.1,-52.92,1570984.777567609,5173017.491257983
3,15.0,250.55210876464844,-33.14,-18.47,1570984.8424514132,5173022.490836975
4,20.0,248.77456665039062,-35.55,-25.49,1570984.9073352176,5173027.490415966
5,25.0,248.033447265625,-14.82,-19.46,1570984.9722190218,5173032.489994958
6,30.0,244.5961456298828,-68.75,-28.5,1570985.037102826,5173037.489573949
7,35.0,236.19705200195312,-167.98,-18.06,1570985.1019866304,5173042.489152941
8,40.0,247.32839965820312,222.63,-27.6,1570985.1668704345,5173047.488731932
9,45.0,243.24847412109375,-81.6,-25.71,1570985.2317542387,5173052.488310924
10,46.7,243.82273864746094,34.75,-8.57,1570985.2532000002,5173054.1408
11,51.7,237.87930297851562,-118.87,-7.22,1570983.9547034649,5173058.969247654
12,56.7,241.21920776367188,66.8,-8.46,1570982.6562069296,5173063.797695308
13,61.7,235.86785888671875,-107.03,-25.05,1570981.3577103943,5173068.626142962
14,66.7,235.2510986328125,-12.34,-14.27,1570980.0592138593,5173073.454590617
15,71.7,242.89784240722656,152.93,-0.48,1570978.760717324,5173078.283038271
16,71.9,242.89784240722656,0.0,-9.4,1570978.6900000004,5173078.546
17,76.9,238.78038024902344,-82.35,1.69,1570976.7850832718,5173083.168909501
18,81.9,221.2587432861328,-350.43,-17.95,1570974.880166543,5173087.7918190025
19,86.9,238.3153533935547,341.13,-9.01,1570972.9752498143,5173092.414728504
20,91.9,241.82260131835938,70.14,9.23,1570971.0703330857,5173097.037638005
21,96.9,238.65541076660156,-63.34,-8.3,1570969.1654163569,5173101.660547506
22,101.9,238.8076629638672,3.06,-43.26,1570967.2692999998,5173106.2621
23,106.9,231.34518432617188,-149.25,-28.21,1570964.4218509507,5173110.37209196
