dist_m,elev_m,gradient_50m
0.0,239.0,-6.4
46.7,236.0,-4.2
71.9,236.0,-14.5
101.9,228.0,-14.7
126.1,230.0,-14.7
166.9,222.0,-12.0
209.1,220.0,-3.8
272.3,218.0,-4.6
296.2,217.0,-4.6
339.9,214.0,-12.3
385.8,206.0,-15.9
421.5,201.0,-7.1
434.3,201.0,-20.5
444.4,201.0,-18.5
455.9,201.0,-18.7
468.8,189.0,-7.8
477.5,189.0,-9.0
485.7,189.0,-10.8
492.9,189.0,-8.3
511.2,195.0,1.6
528.0,195.0,1.4
547.7,190.0,-19.8
566.1,190.0,-10.8
570.2,182.0,-10.8
576.7,182.0,-5.5
584.6,182.0,-14.9
602.1,187.0,0.0
604.4,187.0,0.0
608.6,179.0,-5.0
621.5,179.0,-4.8
628.1,182.0,-15.5
632.1,182.0,-31.8
636.2,179.0,-8.0
647.6,179.0,-9.7
650.3,179.0,-9.7
653.7,179.0,-16.3
657.9,170.0,-17.6
683.2,173.0,-15.3
687.8,173.0,0.0
692.0,173.0,0.0
695.9,163.0,0.0
701.0,163.0,0.0
710.2,162.0,-17.0
734.5,170.0,-1.4
747.9,162.0,0.0
754.4,162.0,0.0
771.3,162.0,-18.8
794.0,162.0,-5.1
814.4,155.0,3.8
833.3,158.0,-9.5
849.4,165.0,1.3
867.4,155.0,-3.3
893.5,156.0,-19.0
918.2,160.0,-19.0
946.3,140.0,-23.9
960.7,147.0,-27.3
967.5,147.0,-27.3
972.6,147.0,-5.4
978.4,140.0,-7.2
1002.3,137.0,-22.8
1029.6,134.0,19.7
1053.5,135.0,19.7
1088.4,154.0,-1.4
1101.4,145.0,-1.1
1110.4,145.0,-1.1
1123.3,134.0,-31.5
1143.8,134.0,-22.6
1151.9,134.0,-6.6
1176.7,130.0,-20.1
1183.5,130.0,-22.7
1190.1,117.0,-17.4
1200.2,117.0,-17.4
1213.5,120.0,-17.5
1232.2,120.0,4.1
1240.7,120.0,0.0
1245.3,109.0,0.0
1255.8,109.0,-4.0
1273.2,120.0,-1.9
1287.7,117.0,-7.8
1294.1,108.0,-7.8
1299.0,108.0,-22.2
1358.9,101.0,-2.8
1367.8,101.0,-2.8
1377.2,101.0,-2.8
1404.3,105.0,27.8
1431.1,116.0,11.9
1463.1,112.0,-3.4
1482.1,114.0,-20.1
1489.9,114.0,-10.1
1494.0,103.0,-10.1
1510.9,100.0,-18.2
1532.2,105.0,-11.5
1624.7,88.0,-15.0
1628.1,88.0,-4.6
1635.5,81.0,-4.6
1642.4,81.0,-4.6
1651.9,87.0,5.6
1748.6,95.0,-1.6
1755.3,95.0,-1.6
1761.9,86.0,-1.6
1841.7,84.0,-12.3
1876.1,72.0,-15.6
1896.4,72.0,-20.9
1912.3,73.0,-10.1
1932.4,65.0,-12.2
1994.6,60.0,-2.2
2021.8,63.0,-1.8
2049.8,59.0,-8.9
2056.7,59.0,-8.9
2065.2,53.0,-8.9
2100.8,56.0,-11.3
2118.5,47.0,-11.3
