seq,cum_dist,elev_m,gradient_pct,gradient_smooth,x,y
0,0.0,239.0,,-6.43,1570984.6477836117,5173007.492183026
1,46.7,236.0,-6.43,-16.56,1570985.253158999,5173054.14087894
2,71.9,236.0,,-8.29,1570978.690021756,5173078.546140699
3,101.9,228.0,-26.69,-11.12,1570967.2693210368,5173106.2622323
4,126.1,230.0,8.25,-10.7,1570953.4606374558,5173126.193617398
5,166.9,222.0,-19.63,-9.19,1570917.8578074188,5173146.030508305
6,209.1,220.0,-4.74,-4.7,1570879.040472034,5173162.521392996
7,272.3,218.0,-3.16,-7.72,1570823.2139454046,5173192.2655335525
8,296.2,217.0,-4.2,-7.28,1570799.7860017738,5173196.6060614325
9,339.9,214.0,-6.86,-9.13,1570757.7586641011,5173208.639788787
10,385.8,206.0,-17.43,-10.63,1570714.904580241,5173225.112128025
11,421.5,201.0,-14.02,-12.77,1570681.0508443129,5173213.858019113
12,434.3,201.0,,-15.72,1570673.0225903466,5173203.827331081
13,444.4,201.0,,-53.64,1570671.4519083896,5173193.8248735685
14,455.9,201.0,,-93.27,1570678.755491238,5173184.971837899
15,468.8,189.0,-93.27,-93.27,1570682.8448530936,5173172.772882226
16,477.5,189.0,,-93.27,1570677.2236492853,5173166.0845824955
17,485.7,189.0,,-30.27,1570669.1468910393,5173167.159887682
18,492.9,189.0,,32.72,1570663.4771281304,5173171.577575108
19,511.2,195.0,32.72,3.66,1570652.1132818877,5173185.965934846
20,528.0,195.0,,3.66,1570645.587692217,5173201.486073422
21,547.7,190.0,-25.4,-63.63,1570635.0212289253,5173218.09913626
22,566.1,190.0,,-111.81,1570618.838379958,5173226.913234452
23,570.2,182.0,-198.21,-111.81,1570614.8023924653,5173226.895553364
24,576.7,182.0,,-84.84,1570609.9786735415,5173222.431933736
25,584.6,182.0,,-84.84,1570610.8199352284,5173214.6612722
26,602.1,187.0,28.54,-81.29,1570618.9600063746,5173199.14823947
27,604.4,187.0,,-81.29,1570618.1625426237,5173196.923503795
28,608.6,179.0,-191.11,-38.97,1570614.121707304,5173198.016422041
29,621.5,179.0,,-72.73,1570607.6154857571,5173209.094124625
30,628.1,182.0,45.65,-72.77,1570602.7528426673,5173213.515298077
31,632.1,182.0,,-13.6,1570598.7168631898,5173213.497607271
32,636.2,179.0,-72.84,-13.6,1570596.3098819037,5173210.155192214
33,647.6,179.0,,-72.84,1570598.7801524375,5173199.059809709
34,650.3,179.0,,-145.68,1570597.1755014765,5173196.831533052
35,653.7,179.0,,-103.32,1570593.9418567014,5173197.927977706
36,657.9,170.0,-218.51,-103.32,1570591.5056657898,5173201.249159779
37,683.2,173.0,11.86,-103.32,1570579.3003172667,5173223.408055732
38,687.8,173.0,,-153.94,1570576.056912474,5173226.725691359
39,692.0,173.0,,-121.65,1570572.016052172,5173227.818584305
40,695.9,163.0,-255.16,-133.01,1570568.797008297,5173225.583217535
41,701.0,163.0,,-77.71,1570566.3949111372,5173221.130191965
42,710.2,162.0,-10.86,-73.18,1570568.8554883627,5173212.256020025
43,734.5,170.0,32.88,-12.52,1570581.0559804211,5173191.207742462
44,747.9,162.0,-59.59,-12.52,1570579.500053526,5173177.87346296
45,754.4,162.0,,-13.36,1570573.042520565,5173177.845133951
46,771.3,162.0,,-46.95,1570564.100048557,5173192.24396949
47,794.0,162.0,,-9.25,1570548.6902243174,5173208.835640278
48,814.4,155.0,-34.32,8.36,1570544.5664552192,5173228.808713225
49,833.3,158.0,15.83,-7.61,1570546.0979406442,5173247.695998779
50,849.4,165.0,43.58,-5.32,1570550.0656714905,5173263.262117364
51,867.4,155.0,-55.54,4.78,1570562.115207783,5173276.642466329
52,893.5,156.0,3.83,-12.61,1570583.0343068815,5173292.28294104
53,918.2,160.0,16.22,-11.59,1570606.4091941146,5173300.159764885
54,946.3,140.0,-71.13,-0.61,1570632.1911692661,5173311.378909187
55,960.7,147.0,48.65,-2.09,1570644.265259223,5173319.206110361
56,967.5,147.0,,-48.01,1570645.8505138638,5173325.876773523
57,972.6,147.0,,-28.49,1570643.409442406,5173330.308573474
58,978.4,140.0,-121.56,-48.36,1570637.754111156,5173331.394439985
59,1002.3,137.0,-12.55,-35.22,1570615.1862879046,5173323.521262869
60,1029.6,134.0,-10.96,-17.3,1570590.2115014368,5173312.305592924
61,1053.5,135.0,4.2,-6.77,1570566.8219695746,5173307.760511816
62,1088.4,154.0,54.39,-5.32,1570534.5922258203,5173294.291550785
63,1101.4,145.0,-68.91,-23.9,1570524.132716704,5173286.47124592
64,1110.4,145.0,,-33.27,1570515.2583468691,5173285.321619652
65,1123.3,134.0,-85.29,-77.1,1570503.169814489,5173280.825983892
66,1143.8,134.0,,-50.72,1570488.703666348,5173266.324274478
67,1151.9,134.0,,-50.72,1570486.3162679523,5173258.539421148
68,1176.7,130.0,-16.15,-107.28,1570490.4597730576,5173234.123984956
69,1183.5,130.0,,-107.28,1570486.4482156585,5173228.553227756
70,1190.1,117.0,-198.4,-64.01,1570479.9857454363,5173229.635409176
71,1200.2,117.0,,-87.95,1570475.1034473444,5173238.498889506
72,1213.5,120.0,22.51,-87.95,1570475.0447814805,5173251.8260865435
73,1232.2,120.0,,-108.13,1570469.316141494,5173269.570806929
74,1240.7,120.0,,-108.13,1570462.0317532588,5173273.9812163245
75,1245.3,109.0,-238.77,-87.69,1570458.0055201948,5173271.742241606
76,1255.8,109.0,,-65.34,1570454.8207375582,5173261.732622161
77,1273.2,120.0,63.4,-84.03,1570459.7373185877,5173245.094958477
78,1287.7,117.0,-20.65,-32.45,1570461.4153024491,5173230.664271534
79,1294.1,108.0,-140.11,-27.26,1570458.2109684949,5173225.097052164
80,1299.0,108.0,,-57.48,1570453.3677842517,5173225.075718573
81,1358.9,101.0,-11.69,-75.9,1570428.104733769,5173279.384826773
82,1367.8,101.0,,1.55,1570427.2583564362,5173288.266065337
83,1377.2,101.0,,14.73,1570430.4480073361,5173297.165097925
84,1404.3,105.0,14.79,14.46,1570449.7377732885,5173316.130670491
85,1431.1,116.0,41.09,13.48,1570471.463948214,5173331.7750490755
86,1463.1,112.0,-12.49,13.48,1570498.0237270552,5173349.6618599575
87,1482.1,114.0,10.54,-56.98,1570515.7531070549,5173356.403543552
88,1489.9,114.0,,-71.68,1570516.5261477523,5173364.18128865
89,1494.0,103.0,-267.06,-62.67,1570514.0898589925,5173367.502442208
90,1510.9,100.0,-17.7,-69.9,1570497.1383549185,5173367.427902318
91,1532.2,105.0,23.53,-69.9,1570476.9873228418,5173360.675511222
92,1624.7,88.0,-18.37,-26.77,1570394.837802435,5173318.109818569
93,1628.1,88.0,,-29.79,1570391.604065483,5173319.206165907
94,1635.5,81.0,-94.53,-16.55,1570388.3458121663,5173325.855509803
95,1642.4,81.0,,-7.67,1570389.9308145232,5173332.526234593
96,1651.9,87.0,63.26,-7.67,1570398.7954243515,5173335.897225598
97,1748.6,95.0,8.27,-21.8,1570479.2818781086,5173389.561757352
98,1755.3,95.0,,-16.98,1570480.059768668,5173396.228906944
99,1761.9,86.0,-136.94,-41.52,1570475.196906674,5173400.649987672
100,1841.7,84.0,-2.51,-58.11,1570398.6091751552,5173378.100008987
101,1876.1,72.0,-34.89,-42.01,1570368.0036629478,5173362.416174438
102,1896.4,72.0,,-17.7,1570352.7255048028,5173349.021206515
103,1912.3,73.0,6.32,-19.09,1570346.331635933,5173334.55486526
104,1932.4,65.0,-39.73,-7.61,1570343.9983914725,5173314.553365479
105,1994.6,60.0,-8.04,-8.95,1570343.4661755846,5173252.356213485
106,2021.8,63.0,11.01,-12.77,1570349.234412906,5173225.726800262
107,2049.8,59.0,-14.31,-20.45,1570352.585932098,5173197.976077671
